Order Date,Sales,Profit,Quantity,year,month,day,day_of_week,is_weekend,is_holiday,sales_lag_1,sales_lag_7,sales_lag_30,rolling_mean_7d,rolling_mean_30d
2014-02-02,211.646,7.152499999999999,12,2014,2,2,6,1,0,468.9,1097.25,16.448,234.6157142857143,496.6997666666667
2014-02-03,97.112,31.5614,5,2014,2,3,0,0,0,211.646,426.67,288.06,187.536,490.33483333333334
2014-02-04,134.384,51.1432,9,2014,2,4,1,0,0,97.112,3.928,19.536,206.17257142857144,494.1631
2014-02-05,0.0,0.0,0,2014,2,5,2,0,0,134.384,0.0,4407.1,206.17257142857144,347.2597666666667
2014-02-06,330.512,76.4833,12,2014,2,6,3,0,0,0.0,240.5,87.15799999999999,219.03142857142856,355.3715666666667
2014-02-07,180.32,59.3488,11,2014,2,7,4,0,0,330.512,290.666,0.0,203.26771428571428,361.3822333333334
2014-02-08,14.56,5.5328,2,2014,2,8,5,1,0,180.32,468.9,40.544,138.362,360.5161
2014-02-09,0.0,0.0,0,2014,2,9,6,1,0,14.56,211.646,54.83,108.12685714285715,358.68843333333336
2014-02-10,0.0,0.0,0,2014,2,10,0,0,0,0.0,97.112,9.94,94.2537142857143,358.3571
2014-02-11,2043.4,293.5285,25,2014,2,11,1,0,0,0.0,134.384,0.0,366.97028571428575,426.47043333333335
2014-02-12,129.568,-24.294,2,2014,2,12,2,0,0,2043.4,0.0,3553.795,385.48,312.32953333333336
2014-02-13,0.0,0.0,0,2014,2,13,3,0,0,129.568,330.512,61.96,338.264,310.26419999999996
2014-02-14,576.726,120.1764,10,2014,2,14,4,0,0,0.0,180.32,149.95,394.8934285714286,324.4900666666667
2014-02-15,21.36,7.209,5,2014,2,15,5,1,0,576.726,14.56,299.964,395.86485714285715,315.20326666666665
2014-02-16,9.04,-15.658,5,2014,2,16,6,1,0,21.36,0.0,0.0,397.1562857142858,315.50460000000004
2014-02-17,54.208,8.8088,14,2014,2,17,0,0,0,9.04,0.0,64.864,404.90028571428576,315.14939999999996
2014-02-18,37.784,-13.846799999999998,7,2014,2,18,1,0,0,54.208,2043.4,378.594,118.38371428571428,303.78906666666666
2014-02-19,0.0,0.0,0,2014,2,19,2,0,0,37.784,129.568,2673.87,99.874,214.66006666666667
2014-02-20,95.59,35.5612,9,2014,2,20,3,0,0,0.0,0.0,25.248,113.52971428571428,217.00480000000002
2014-02-21,8.85,-13.7175,5,2014,2,21,4,0,0,95.59,576.726,0.0,32.40457142857143,217.29980000000003
2014-02-22,19.44,9.3312,3,2014,2,22,5,1,0,8.85,21.36,46.02,32.13028571428571,216.41379999999998
2014-02-23,11.364,-4.522500000000001,6,2014,2,23,6,1,0,19.44,9.04,0.0,32.46228571428571,216.79260000000002
2014-02-24,55.672,18.7893,7,2014,2,24,0,0,0,11.364,54.208,0.0,32.67142857142857,218.64833333333334
2014-02-25,0.0,0.0,0,2014,2,25,1,0,0,55.672,37.784,1097.25,27.273714285714284,182.07333333333332
2014-02-26,0.0,0.0,0,2014,2,26,2,0,0,0.0,0.0,426.67,27.273714285714284,167.851
2014-02-27,19.456,3.4048,4,2014,2,27,3,0,0,0.0,95.59,3.928,16.39742857142857,168.3686
2014-02-28,0.0,0.0,0,2014,2,28,4,0,0,19.456,8.85,0.0,15.133142857142857,168.3686
2014-03-01,2203.151,-208.96140000000003,40,2014,3,1,5,1,0,0.0,19.44,240.5,327.0918571428571,233.7903
2014-03-02,202.384,56.0112,11,2014,3,2,6,1,1,2203.151,11.364,290.666,354.3804285714286,230.84756666666667
