Order Date,Category,Region,Quantity,Sales,Profit
2020-01-01,Furniture,West,7,1233.0,374.47
2020-01-01,Furniture,South,10,3438.83,766.2
2020-01-01,Office Supplies,Central,12,212.24,65.81
2020-01-02,Technology,South,12,5249.33,919.4
2020-01-02,Office Supplies,West,12,662.46,312.06
2020-01-02,Furniture,West,14,3961.22,-593.84
2020-01-02,Office Supplies,South,13,345.32,85.95
2020-01-02,Furniture,East,5,1516.16,309.45
2020-01-02,Furniture,Central,4,1494.83,-120.0
2020-01-03,Office Supplies,East,1,8.0,2.28
2020-01-03,Furniture,West,11,3478.28,617.62
2020-01-03,Technology,South,14,5540.85,1263.4
2020-01-03,Office Supplies,Central,6,219.31,78.14
2020-01-03,Furniture,West,9,2081.8,159.85
2020-01-04,Furniture,South,13,3418.71,-1011.47
2020-01-04,Technology,East,11,4278.17,288.16
2020-01-04,Furniture,West,1,159.72,-31.38
2020-01-04,Office Supplies,East,8,583.79,144.25
2020-01-04,Technology,West,4,1250.21,237.84
2020-01-05,Technology,South,4,800.11,138.8
2020-01-05,Furniture,East,6,1364.53,120.37
2020-01-05,Office Supplies,West,1,25.24,5.5
2020-01-05,Office Supplies,East,2,94.88,30.63
2020-01-05,Office Supplies,West,2,80.09,25.45
2020-01-05,Office Supplies,East,2,52.38,26.4
2020-01-05,Office Supplies,Central,10,560.77,144.49
2020-01-06,Office Supplies,West,1,24.37,2.93
2020-01-06,Furniture,East,7,1759.51,618.25
2020-01-06,Furniture,South,13,3317.83,79.88
2020-01-06,Technology,West,12,3665.63,1189.51
2020-01-06,Furniture,Central,5,599.91,-33.46
2020-01-06,Technology,Central,13,6525.65,1415.77
2020-01-06,Furniture,West,9,2778.98,-331.6
2020-01-06,Office Supplies,South,6,316.77,76.44
2020-01-06,Office Supplies,South,12,345.65,111.09
2020-01-07,Furniture,West,9,3190.43,153.12
2020-01-07,Technology,Central,9,3725.35,633.68
2020-01-07,Office Supplies,East,14,462.52,98.3
2020-01-07,Technology,Central,10,5679.91,1164.19
2020-01-07,Office Supplies,West,11,255.96,71.44
2020-01-07,Office Supplies,Central,9,196.68,79.25
2020-01-07,Office Supplies,South,11,544.03,154.7
2020-01-08,Office Supplies,West,13,784.77,230.48
2020-01-08,Technology,Central,7,4576.07,1398.35
2020-01-08,Furniture,Central,10,1859.97,631.46
2020-01-08,Furniture,West,2,539.03,60.71
2020-01-08,Technology,South,13,9453.47,2103.56
2020-01-08,Office Supplies,West,11,450.24,83.61
2020-01-08,Technology,West,5,1972.55,605.51
2020-01-08,Technology,West,14,7665.67,1433.64
2020-01-08,Furniture,East,8,1484.3,235.19
2020-01-08,Office Supplies,East,3,103.1,30.2
2020-01-08,Technology,South,8,2199.04,272.75
2020-01-09,Technology,East,9,5219.07,869.46
2020-01-09,Furniture,West,4,1201.25,242.14
